"date" "maxO3" "T9" "T12" "T15" "Ne9" "Ne12" "Ne15" "Vx9" "Vx12" "Vx15" "vent" "Occ_pluie"
"103" 20010911 NA NA NA NA NA NA NA NA NA NA NA NA
"104" 20010912 78 14.2 22.2 22 5 5 6 -0.866 -5 -5 "Ouest" 0
"105" 20010913 74 15.8 18.7 19.1 8 7 7 -4.5963 -6.8937 -7.5175 "Ouest" 1
"106" 20010914 71 15.2 17.9 18.6 6 5 1 -1.0419 -1.3681 -1.0419 "Nord" 1
"107" 20010915 69 17.1 17.7 17.5 6 7 8 -5.1962 -2.7362 -1.0419 "Nord" 1
"108" 20010916 71 15.4 17.7 16.6 4 5 5 -3.8302 0 1.3892 "Nord" 0
"109" 20010917 60 13.7 14 15.8 4 5 4 0 3.2139 0 "Nord" 1
"110" 20010918 42 12.7 14.3 14.9 8 7 7 -2.5 -3.2139 -2.5 "Nord" 1
"111" 20010919 65 14.8 16.3 15.9 7 7 7 -4.3301 -6.0622 -5.1962 "Ouest" 1
"112" 20010920 71 15.5 18 17.4 7 7 6 -3.9392 -3.0642 0 "Ouest" 0
"113" 20010921 96 11.3 19.4 20.2 3 3 3 -0.1736 3.7588 3.8302 "Est" 1
"114" 20010922 98 15.2 19.7 20.3 2 2 2 4 5 4.3301 "Est" 0
"115" 20010923 92 14.7 17.6 18.2 1 4 6 5.1962 5.1423 3.5 "Nord" 0
"116" 20010924 76 13.3 17.7 17.7 7 7 6 -0.9397 -0.766 -0.5 "Ouest" 1
"117" 20010925 84 13.3 17.7 17.8 3 5 6 0 -1 -1.2856 "Sud" 0
"118" 20010926 NA NA NA NA NA NA NA NA NA NA NA NA
"119" 20010927 77 16.2 20.8 22.1 6 5 5 -0.6946 -2 -1.3681 "Sud" 1
"120" 20010928 99 16.9 23 22.6 6 4 7 1.5 0.8682 0.8682 "Sud" 0
"121" 20010929 83 16.9 19.8 22.1 6 5 3 -4 -3.7588 -4 "Ouest" 1
"122" 20010930 70 15.7 18.6 20.7 7 7 7 0 -1.0419 -4 "Sud" 0
